Loaded dataset with 291742 molecules from pretraining_data/drugs
epoch 002 step 04000/4559 ( 87.7%) lr 5.63421e-05
epoch 002 step 04050/4559 ( 88.8%) lr 5.66579e-05
epoch 002 step 04100/4559 ( 89.9%) lr 5.7e-05
epoch 002 step 04150/4559 ( 91.0%) lr 5.73158e-05
epoch 002 step 04200/4559 ( 92.1%) lr 5.76579e-05
epoch 002 step 04250/4559 ( 93.2%) lr 5.79737e-05
epoch 002 step 04300/4559 ( 94.3%) lr 5.83158e-05
epoch 002 step 04350/4559 ( 95.4%) lr 5.86316e-05
epoch 002 step 04400/4559 ( 96.5%) lr 5.89737e-05
epoch 002 step 04450/4559 ( 97.6%) lr 5.92895e-05
epoch 002 step 04500/4559 ( 98.7%) lr 5.96316e-05
epoch 002 step 04550/4559 ( 99.8%) lr 5.99474e-05
epoch 002 step 04559/4559 (100.0%) lr 6.00263e-05
epoch 002 loss 0.3306 time 1182.6s
epoch 003 step 00050/4559 (  1.1%) lr 6.03421e-05
epoch 003 step 00100/4559 (  2.2%) lr 6.06842e-05
epoch 003 step 00150/4559 (  3.3%) lr 6.1e-05
epoch 003 step 00200/4559 (  4.4%) lr 6.13421e-05
epoch 003 step 00250/4559 (  5.5%) lr 6.16579e-05
epoch 003 step 00300/4559 (  6.6%) lr 6.2e-05
epoch 003 step 00350/4559 (  7.7%) lr 6.23158e-05
epoch 003 step 00400/4559 (  8.8%) lr 6.26579e-05
epoch 003 step 00450/4559 (  9.9%) lr 6.29737e-05
epoch 003 step 00500/4559 ( 11.0%) lr 6.33158e-05
epoch 003 step 00550/4559 ( 12.1%) lr 6.36316e-05
epoch 003 step 00600/4559 ( 13.2%) lr 6.39737e-05
epoch 003 step 00650/4559 ( 14.3%) lr 6.42895e-05
epoch 003 step 00700/4559 ( 15.4%) lr 6.46316e-05
epoch 003 step 00750/4559 ( 16.5%) lr 6.49474e-05
epoch 003 step 00800/4559 ( 17.5%) lr 6.52895e-05
epoch 003 step 00850/4559 ( 18.6%) lr 6.56053e-05
epoch 003 step 00900/4559 ( 19.7%) lr 6.59474e-05
epoch 003 step 00950/4559 ( 20.8%) lr 6.62632e-05
epoch 003 step 01000/4559 ( 21.9%) lr 6.66053e-05
epoch 003 step 01050/4559 ( 23.0%) lr 6.69211e-05
epoch 003 step 01100/4559 ( 24.1%) lr 6.72632e-05
epoch 003 step 01150/4559 ( 25.2%) lr 6.75789e-05
epoch 003 step 01200/4559 ( 26.3%) lr 6.79211e-05
epoch 003 step 01250/4559 ( 27.4%) lr 6.82368e-05
epoch 003 step 01300/4559 ( 28.5%) lr 6.85789e-05
epoch 003 step 01350/4559 ( 29.6%) lr 6.88947e-05
epoch 003 step 01400/4559 ( 30.7%) lr 6.92368e-05
epoch 003 step 01450/4559 ( 31.8%) lr 6.95526e-05
epoch 003 step 01500/4559 ( 32.9%) lr 6.98947e-05
epoch 003 step 01550/4559 ( 34.0%) lr 7.02105e-05
epoch 003 step 01600/4559 ( 35.1%) lr 7.05526e-05
epoch 003 step 01650/4559 ( 36.2%) lr 7.08684e-05
epoch 003 step 01700/4559 ( 37.3%) lr 7.12105e-05
epoch 003 step 01750/4559 ( 38.4%) lr 7.15263e-05
epoch 003 step 01800/4559 ( 39.5%) lr 7.18684e-05
epoch 003 step 01850/4559 ( 40.6%) lr 7.21842e-05
epoch 003 step 01900/4559 ( 41.7%) lr 7.25263e-05
epoch 003 step 01950/4559 ( 42.8%) lr 7.28421e-05
epoch 003 step 02000/4559 ( 43.9%) lr 7.31842e-05
epoch 003 step 02050/4559 ( 45.0%) lr 7.35e-05
epoch 003 step 02100/4559 ( 46.1%) lr 7.38421e-05
epoch 003 step 02150/4559 ( 47.2%) lr 7.41579e-05
epoch 003 step 02200/4559 ( 48.3%) lr 7.45e-05
epoch 003 step 02250/4559 ( 49.4%) lr 7.48158e-05
epoch 003 step 02300/4559 ( 50.4%) lr 7.51579e-05
epoch 003 step 02350/4559 ( 51.5%) lr 7.54737e-05
epoch 003 step 02400/4559 ( 52.6%) lr 7.58158e-05
epoch 003 step 02450/4559 ( 53.7%) lr 7.61316e-05
epoch 003 step 02500/4559 ( 54.8%) lr 7.64737e-05
epoch 003 step 02550/4559 ( 55.9%) lr 7.67895e-05
epoch 003 step 02600/4559 ( 57.0%) lr 7.71316e-05
epoch 003 step 02650/4559 ( 58.1%) lr 7.74474e-05
epoch 003 step 02700/4559 ( 59.2%) lr 7.77895e-05
epoch 003 step 02750/4559 ( 60.3%) lr 7.81053e-05
epoch 003 step 02800/4559 ( 61.4%) lr 7.84474e-05
epoch 003 step 02850/4559 ( 62.5%) lr 7.87632e-05
epoch 003 step 02900/4559 ( 63.6%) lr 7.91053e-05
epoch 003 step 02950/4559 ( 64.7%) lr 7.94211e-05
epoch 003 step 03000/4559 ( 65.8%) lr 7.97632e-05
epoch 003 step 03050/4559 ( 66.9%) lr 8.00789e-05
epoch 003 step 03100/4559 ( 68.0%) lr 8.04211e-05
epoch 003 step 03150/4559 ( 69.1%) lr 8.07368e-05
epoch 003 step 03200/4559 ( 70.2%) lr 8.10789e-05
epoch 003 step 03250/4559 ( 71.3%) lr 8.13947e-05
epoch 003 step 03300/4559 ( 72.4%) lr 8.17368e-05
epoch 003 step 03350/4559 ( 73.5%) lr 8.20526e-05
epoch 003 step 03400/4559 ( 74.6%) lr 8.23947e-05
epoch 003 step 03450/4559 ( 75.7%) lr 8.27105e-05
epoch 003 step 03500/4559 ( 76.8%) lr 8.30526e-05
epoch 003 step 03550/4559 ( 77.9%) lr 8.33684e-05
epoch 003 step 03600/4559 ( 79.0%) lr 8.37105e-05
epoch 003 step 03650/4559 ( 80.1%) lr 8.40263e-05
epoch 003 step 03700/4559 ( 81.2%) lr 8.43684e-05
epoch 003 step 03750/4559 ( 82.3%) lr 8.46842e-05
epoch 003 step 03800/4559 ( 83.4%) lr 8.50263e-05
epoch 003 step 03850/4559 ( 84.4%) lr 8.53421e-05
epoch 003 step 03900/4559 ( 85.5%) lr 8.56842e-05
epoch 003 step 03950/4559 ( 86.6%) lr 8.6e-05
epoch 003 step 04000/4559 ( 87.7%) lr 8.63421e-05
epoch 003 step 04050/4559 ( 88.8%) lr 8.66579e-05
epoch 003 step 04100/4559 ( 89.9%) lr 8.7e-05
epoch 003 step 04150/4559 ( 91.0%) lr 8.73158e-05
epoch 003 step 04200/4559 ( 92.1%) lr 8.76579e-05
epoch 003 step 04250/4559 ( 93.2%) lr 8.79737e-05
epoch 003 step 04300/4559 ( 94.3%) lr 8.83158e-05
epoch 003 step 04350/4559 ( 95.4%) lr 8.86316e-05
epoch 003 step 04400/4559 ( 96.5%) lr 8.89737e-05
epoch 003 step 04450/4559 ( 97.6%) lr 8.92895e-05
epoch 003 step 04500/4559 ( 98.7%) lr 8.96316e-05
epoch 003 step 04550/4559 ( 99.8%) lr 8.99474e-05
epoch 003 step 04559/4559 (100.0%) lr 9.00263e-05
epoch 003 loss 0.1493 time 1173.4s
epoch 004 step 00050/4559 (  1.1%) lr 9.03421e-05
epoch 004 step 00100/4559 (  2.2%) lr 9.06842e-05
epoch 004 step 00150/4559 (  3.3%) lr 9.1e-05
epoch 004 step 00200/4559 (  4.4%) lr 9.13421e-05
epoch 004 step 00250/4559 (  5.5%) lr 9.16579e-05
epoch 004 step 00300/4559 (  6.6%) lr 9.2e-05
epoch 004 step 00350/4559 (  7.7%) lr 9.23158e-05
epoch 004 step 00400/4559 (  8.8%) lr 9.26579e-05
epoch 004 step 00450/4559 (  9.9%) lr 9.29737e-05
epoch 004 step 00500/4559 ( 11.0%) lr 9.33158e-05
epoch 004 step 00550/4559 ( 12.1%) lr 9.36316e-05
epoch 004 step 00600/4559 ( 13.2%) lr 9.39737e-05
epoch 004 step 00650/4559 ( 14.3%) lr 9.42895e-05
epoch 004 step 00700/4559 ( 15.4%) lr 9.46316e-05
epoch 004 step 00750/4559 ( 16.5%) lr 9.49474e-05
epoch 004 step 00800/4559 ( 17.5%) lr 9.52895e-05
epoch 004 step 00850/4559 ( 18.6%) lr 9.56053e-05
epoch 004 step 00900/4559 ( 19.7%) lr 9.59474e-05
epoch 004 step 00950/4559 ( 20.8%) lr 9.62632e-05
epoch 004 step 01000/4559 ( 21.9%) lr 9.66053e-05
epoch 004 step 01050/4559 ( 23.0%) lr 9.69211e-05
epoch 004 step 01100/4559 ( 24.1%) lr 9.72632e-05
epoch 004 step 01150/4559 ( 25.2%) lr 9.75789e-05
epoch 004 step 01200/4559 ( 26.3%) lr 9.79211e-05
epoch 004 step 01250/4559 ( 27.4%) lr 9.82368e-05
epoch 004 step 01300/4559 ( 28.5%) lr 9.85789e-05
epoch 004 step 01350/4559 ( 29.6%) lr 9.88947e-05
epoch 004 step 01400/4559 ( 30.7%) lr 9.92368e-05
epoch 004 step 01450/4559 ( 31.8%) lr 9.95526e-05
epoch 004 step 01500/4559 ( 32.9%) lr 9.98947e-05
epoch 004 step 01550/4559 ( 34.0%) lr 0.000100211
epoch 004 step 01600/4559 ( 35.1%) lr 0.000100553
epoch 004 step 01650/4559 ( 36.2%) lr 0.000100868
epoch 004 step 01700/4559 ( 37.3%) lr 0.000101211
epoch 004 step 01750/4559 ( 38.4%) lr 0.000101526
epoch 004 step 01800/4559 ( 39.5%) lr 0.000101868
epoch 004 step 01850/4559 ( 40.6%) lr 0.000102184
epoch 004 step 01900/4559 ( 41.7%) lr 0.000102526
epoch 004 step 01950/4559 ( 42.8%) lr 0.000102842
epoch 004 step 02000/4559 ( 43.9%) lr 0.000103184
epoch 004 step 02050/4559 ( 45.0%) lr 0.0001035
epoch 004 step 02100/4559 ( 46.1%) lr 0.000103842
epoch 004 step 02150/4559 ( 47.2%) lr 0.000104158
epoch 004 step 02200/4559 ( 48.3%) lr 0.0001045
